"Timer Banner", "Timer Banner"
"General", "General"
"Enable", "Enable"
"TimerBanner Settings - NEX", "TimerBanner Settings - NEX"
"TimerBanner Setting - NEX", "TimerBanner Setting - NEX"
"TimerBanner (nex)", "TimerBanner (nex)"
"Manage Items", "Manage Items"
"reports", "reports"
"All Banners", "All Banners"
"Per Banner", "Per Banner"

"Items Manager", "Items Manager"
"Item Manager", "Item Manager"
"Item News", "Item News"
"Item does not exist", "Item does not exist"
"Item was successfully saved", "Item was successfully saved"
"Item was successfully deleted", "Item was successfully deleted"

"model", "model"
"models exemples", "models exemples"

"FINISHED", "FINISHED"
"Product not found", "Product not found"
"The TimerBanner not configured.", "The TimerBanner not configured."
"Item Manager", "Item Manager"
"Add Item", "Add Item"
"Save Item", "Save Item"
"Delete Item", "Delete Item"
"Banner Information", "Banner Information"
"Item Information", "Item Information"
"Report - Totals", "Report - Totals"
"Report", "Report"
"ID", "ID"
"ID Show", "ID Show"
"Image", "Image"
"Title", "Title"
"Name", "Name"
"Store", "Store"
"Select Store", "Select Store"
"Start Time", "Start Time"
"Start date", "Start date"
"End Time", "End Time"
"End date", "End date"
"Status", "Status"
"Active", "Active"
"Inactive", "Inactive"
"Image File", "Image File"
"Background Imagem", "Background Imagem"
"Background Color", "Background Color"
"Product ID", "Product ID"
"Product Name", "Product Name"
"If not given, will be shown the name of the registered product", "If not given, will be shown the name of the registered product"
"Template", "Template"
"Width", "Width"
"Height", "Height"
"End date promotion", "End date promotion"
"Text time end", "Text time end"
"Url", "Url"
"Target", "Target"
"IP", "IP"
"Date of click", "Date of click"
"URL to click", "URL to click"
"Total of Clicks", "Total of Clicks"
"D : H : M : S", "D : H : M : S"
"for:", "for:"
"of:", "of:"
"BUY", "BUY"